,week_T-0,FERARI__T-0,VPD__T-0,TSS__T-0,Cracking index__T-0,Acceptance_Score__T-0,Shattering(%)__T-0,FER_RG__T-0,weight__T-0,Rachis_Score__T-0,Firmness__T-0,berry weight__T-0
227,3,0.8477,0.15,18.9,1,5.0,0,5.558,412.53,0.0,2.0212917611693926,9.45
228,3,0.5458,0.15,17.1,1,5.0,0,3.878,479.48,0.0,1.7890820366808677,8.55
229,3,0.3944,0.15,19.7,1,5.0,0,3.648,530.55,0.0,2.4264097557167252,9.85
230,3,0.8018,0.15,19.2,1,5.0,0,4.937,688.76,0.0,2.7649895865095764,9.6
231,3,0.4723,0.15,18.2,1,5.0,0,2.566,669.64,0.0,2.139228216149256,9.1
232,3,0.7106,0.15,18.6,1,5.0,0,3.686,680.58,0.0,1.5576478389675992,9.3
233,3,0.7087,0.15,19.7,1,5.0,0,4.874,683.75,0.0,2.378067354263685,9.85
234,3,0.5067,0.15,19.9,1,5.0,0,2.329,524.07,0.0,1.848392734576321,9.95
235,3,0.5578,0.15,18.3,1,5.0,0,3.58,499.72,0.0,2.8315785893256056,9.15
236,3,0.6407,0.15,19.7,1,5.0,0,5.753,698.71,0.0,2.5522188704639936,9.85
237,3,0.5441,0.15,18.1,1,5.0,0,3.544,690.72,0.0,3.1224917160107233,9.05
238,3,0.5314,0.15,17.8,1,5.0,0,3.461,720.55,0.0,1.0293357061297304,8.9
239,3,1.037,0.15,18.7,1,5.0,0,4.134,730.76,0.0,1.728512378752163,9.35
240,3,0.5538,0.15,17.1,1,5.0,0,2.632,725.17,0.0,2.568553923112766,8.55
241,3,0.8355,0.15,18.4,1,5.0,0,4.865,680.64,0.0,2.3010692846822747,9.2
242,3,0.3418,0.15,18.0,1,5.0,0,2.171,454.44,0.0,3.601129463982986,9.0
243,3,0.5821,0.15,18.2,1,5.0,0,4.819,712.8,0.0,3.0279282884910708,9.1
244,3,0.7483,0.15,18.9,1,5.0,0,2.828,491.37,0.0,1.9715979650257403,9.45
245,3,0.4929,0.15,19.9,1,5.0,0,2.161,682.5,0.0,2.9044984418242654,9.95
246,3,0.6042,0.15,21.0,1,5.0,0,4.209,699.29,0.0,1.8771999955427634,10.5
247,3,0.3969,0.15,17.6,1,5.0,0,2.846,586.17,0.0,1.0211912884696845,8.8
248,3,0.6514,0.15,19.1,1,5.0,0,3.809,717.67,0.0,1.9972069868475049,9.55
249,3,0.5525,0.15,19.9,1,5.0,0,3.339,715.28,0.0,1.7330592395477327,9.95
250,3,0.4688,0.15,21.4,1,5.0,0,3.516,706.83,0.0,1.7777181199049512,10.7
251,3,0.7348,0.15,22.1,1,5.0,0,3.584,696.84,0.1,1.041829174418594,11.05
252,6,0.4693,0.176,18.6,1,5.0,0,3.518,688.26,0.0,2.2069689547959985,9.3
253,6,0.3555,0.176,18.2,1,5.0,0,2.436,665.03,0.0,4.141673475029388,9.1
254,6,0.4863,0.176,17.4,1,5.0,0,4.209,667.93,0.0,2.770010637097406,8.7
255,6,0.3753,0.176,17.8,1,5.0,0,2.685,702.33,0.0,3.149577843657111,8.9
256,6,0.3262,0.176,17.5,1,5.0,0,2.096,715.2,0.0,3.365961830458921,8.75
257,6,0.6404,0.176,19.5,1,5.0,0,3.165,684.44,0.0,2.0431100376927973,9.75
258,6,0.562,0.176,17.0,1,5.0,0,4.09,685.5,0.0,2.038284948578572,8.5
259,6,0.4601,0.176,20.0,1,5.0,0,4.02,680.99,0.0,1.9828149106964537,10.0
260,6,0.6941,0.176,19.9,1,5.0,0,2.928,670.26,0.1,2.971031983845878,9.95
261,6,0.3186,0.176,17.5,1,5.0,0,2.391,684.25,0.0,2.316773008621273,8.75
262,6,0.6202,0.176,17.8,1,5.0,0,4.052,665.6,0.0,2.3080222196089415,8.9
263,6,0.5597,0.176,18.5,1,5.0,0,3.433,694.32,0.0,2.106302991197397,9.25
264,6,0.4376,0.176,16.4,1,5.0,0,2.319,685.8,0.0,2.78751498816179,8.2
265,6,0.3666,0.176,19.2,1,5.0,0,3.677,634.31,0.0,2.5742395788870183,9.6
